image_url_1,category,style,colors,gender,pattern,occasion,accessory_type,more_attributes,bag_type,belt_type,material,tops_fit,sleeve_type,tops_length,overclothes_closure,blazer_neckline_type,underarm_sleeve_length,neckline_type,sleeve_length,heels_width,heels_height,boots-shoe_type,shoe_material,bracelet_type,overclothes_neckline_type,overclothes_type,waist_type,bottoms_length,skirt_type,skirt_length,bottoms_fit,glasses_type,headwear_type,jumpsuit_length,necklet_type,neckwear_type,overclothes-sleeveless_type,poncho_type,sandals-shoe_type,shorts_type,slippers-shoe_type,sneakers_type,sportswear_type,sweatshirt_type,swimwear_type,tank_type,bottoms_type,barcode,brand
https://fotos.skm.be/article/489205/489205_02_642adb1670216c001194fc17.jpg,shirt,casual,magenta; multicolor; white,female,shapes,semi-formal; summer,,buttons,,,,regular-fit-tops,straight-sleeve,short,,,,high-neck,long-sleeve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48920502040101,ETERNA
https://fotos.skm.be/article/507927/507927_01_6488eab8d7dc2e001087c0fd.jpg,sweater,casual,coral; magenta; multicolor,female,chevron; harlequin,winter,,embroidered,,,,regular-fit-tops,straight-sleeve,short,,,,turtle-neck,long-sleeve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50792701020101,Geisha
https://fotos.skm.be/article/505938/505938_01_64ff0a6c07ed590011484286.jpg,trousers_and_chinos,business,gray,female,houndstooth,semi-formal,,,,,,,,,,,,,,,,,,,,,high-waist,full-length,,,slim-bottoms,,,,,,,,,,,,,,,,classic-trousers,50593801040101,TONI
https://fotos.skm.be/article/479883/479883_01_617284f48b44f30011ac308f.jpg,skirt,feminine,blue; multicolor; navy,female,stripes; vertical-stripes,casual; semi-formal,,,,,woven,,,,,,,,,,,,,,,,high-waist,,a-line,midi,,,,,,,,,,,,,,,,,,47988301030101,Nümph
https://fotos.skm.be/article/483726/483726_01_6706-60-1.jpg,dress,feminine,emerald-green; multicolor; mustard,female,floral,dating,,,,,,,straight-sleeve,,,,,v-neck,3-4-sleeve,,,,,,,,,,pencil,midi,,,,,,,,,,,,,,,,,,48372601080101,Verpass
https://fotos.skm.be/article/487940/487940_01_620f7e302ec3e10012a2addf.jpg,sweatshirt,casual,bordeaux; gray,female,marled; varsity-striped,home-lounge; winter,,,,,,regular-fit-tops,straight-sleeve,short,,,,crew-neck,long-sleeve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48794001050101,Rabe
https://fotos.skm.be/article/499751/499751_01_62695f6f6319310013a3eb14.jpg,shirt,casual,beige; black,female,geometric,semi-formal; summer,,buttons,,,,regular-fit-tops,straight-sleeve,short,,,,,long-sleeve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49975101020101,ONLY
https://fotos.skm.be/article/503785/503785_01_28605-01-3154_01.jpg,sweater,casual,beige; ecru,female,,casual,,,,,,oversized-tops,puff-sleeve,cropped,,,,boat-neck,long-sleeve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50378501020101,Xandres
https://fotos.skm.be/article/482163/482163_01_61e76a1af1b23b0011f79dd8.jpg,shirt,business,lavander; white,male,stripes; vertical-stripes,office; summer,,buttons,,,,regular-fit-tops,straight-sleeve,short,,,,v-neck,short-sleeve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48216301080101,Doris Streich
https://fotos.skm.be/article/488976/488976_01_223966-110-1-WEB.jpg,trousers_and_chinos,casual,black,female,plain,casual; dating; formal; nightout; office; semi-formal,,,,,,,,,,,,,,,,,,,,,mid-waist,full-length,,,straight-fit-bottoms,,,,,,,,,,,,,,,,classic-trousers,48897601010101,Joseph Ribkoff
https://fotos.skm.be/article/509123/509123_01_644a3dd3a6eae0001295d2c5.jpg,tops,casual,purple,female,,casual,,buttons,,,cotton,regular-fit-tops,straight-sleeve,short,,,,grandad,long-sleeve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50912301070101,ONLY Carmakoma
https://fotos.skm.be/article/477567/477567_01_617741aa93c6900011d300ed.jpg,t-shirt,casual,ecru,female,plain,casual,,,,,cotton,bodycon-tops,,short,,,,crew-neck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47756701050101,GERRY WEBER
https://fotos.skm.be/article/499150/499150_02_30307546_301963_500.jpg,sweatshirt,casual,blue; mint; multicolor,female,horizontal-stripes,casual,,,,,cotton,oversized-tops,straight-sleeve,thigh-length,,,,boat-neck,long-sleeve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49915002050101,Part Two
https://fotos.skm.be/article/500045/500045_01_6386ac32741f4a00110a2110.jpg,shirt,casual,blue; multicolor; silver,female,brush-stroke,casual,,buttons,,,cotton,regular-fit-tops,straight-sleeve,short,,,,v-neck,short-sleeve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50004501080101,Doris Streich
https://fotos.skm.be/article/481303/481303_01_8057590003036---WA2461J6308R9020-S-AF-N-N-08-N.jpg,t-shirt,casual,white,male,plain,casual,,,,,cotton,regular-fit-tops,,short,,,,crew-neck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48130301020101,Liu Jo Denim
https://fotos.skm.be/article/499250/499250_01_231745-2539-1-WEB.jpg,dress,feminine,ecru; multicolor; navy,female,floral; leaf,dating; nightout,,,,,,,flutter-sleeve,,,,,shoulder-off,short-sleeve,,,,,,,,,,pencil,midi,,,,,,,,,,,,,,,,,,49925001060101,Joseph Ribkoff
https://fotos.skm.be/article/488930/488930_01_223207-178-5-WEB.jpg,dress,bohemian,black; khaki; multicolor,female,animals; floral; leaf; natural,casual,,,,,velvet,,straight-sleeve,,,,,v-neck,long-sleeve,,,,,,,,,,a-line,midi,,,,,,,,,,,,,,,,,,48893001110101,Joseph Ribkoff
https://fotos.skm.be/article/495048/495048_03_62edf860ae6a5d0011dff4ac.jpg,jeans,casual,khaki,female,vertical-stripes,casual; nightout; semi-formal,,,,,,,,,,,,,,,,,,,,,high-waist,full-length,,,skinny-bottoms,,,,,,,,,,,,,,,,,49504803020101,BRAX
https://fotos.skm.be/article/505459/505459_01_mayerline-wijde-printbroek-met-rugelastiek_S2023CEDINE7326208-1.jpg,trousers_and_chinos,casual,multicolor; white; yellow,unisex,,casual; summer,,,,,,,,,,,,,,,,,,,,,high-waist,3-4-long,,,oversized-bottoms,,,,,,,,,,,,,,,,casual,50545901050101,Mayerline
https://fotos.skm.be/article/498444/498444_01_632c5db9e67d230011e38589.jpg,dress,feminine,green,unisex,geometric,semi-formal; summer,,,,,lace,,puff-sleeve,,,,,polo,short-sleeve,,,,,,,,,,a-line,midi,,,,,,,,,,,,,,,,,,49844401030101,Nümph
https://fotos.skm.be/article/503364/503364_01_02-09b.jpg,skirt,bohemian,multicolor; orange; red,male,leaf,beach; dating; summer,,,,,,,,,,,,,,,,,,,,,high-waist,,a-line,midi,,,,,,,,,,,,,,,,,,50336401040101,Caroline Biss
https://fotos.skm.be/article/507563/507563_01_prevude-trui.jpg,sweatshirt,casual,orange,female,varsity-striped,casual,,,,,teddy,oversized-tops,puff-sleeve,short,,,,v-neck,long-sleeve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50756301030101,CKS
https://fotos.skm.be/article/486213/486213_02_COCO_dark-clay-tencel-3.jpg,dress,casual,canyon-rose,female,glen-check; plain,casual; semi-formal,,,,,,,straight-sleeve,,,,,v-neck,3-4-sleeve,,,,,,,,,,a-line,midi,,,,,,,,,,,,,,,,,,48621302030101,FAM the label
https://fotos.skm.be/article/483466/483466_01_90009-01-1566_01.jpg,dress,feminine,black; ecru; white,female,diagonal-stripes; stripes,semi-formal,,wrap,,,cotton,,,,,,,v-neck,sleeveless,,,,,,,,,,a-line,midi,,,,,,,,,,,,,,,,,,48346601050101,Xandres Gold
https://fotos.skm.be/article/233024/233024_04_609beec80b03880012611a22.jpg,trousers_and_chinos,casual,black,female,,casual,,,,,,,,,,,,,,,,,,,,,high-waist,3-4-long,,,slim-bottoms,,,,,,,,,,,,,,,,classic-trousers,23302404020101,Doris Streich
https://fotos.skm.be/article/491945/491945_01_14092-01-1915_01.jpg,dress,feminine,beige; multicolor; mustard,female,animal-print,dating,,,,,,,straight-sleeve,,,,,v-neck,3-4-sleeve,,,,,,,,,,a-line,mini,,,,,,,,,,,,,,,,,,49194501030101,Xandres
https://fotos.skm.be/article/500621/500621_01_637b9febef53450010de7266.jpg,sweater,casual,ecru,unisex,stripes,casual,,,,,,oversized-tops,straight-sleeve,short,,,,high-neck,long-sleeve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50062101040101,Marc Cain
https://fotos.skm.be/article/507822/507822_01_64f01017f24f750011208c30.jpg,tops,casual,blue; multicolor; navy,female,geometric,casual,,buttons,,,cotton,regular-fit-tops,straight-sleeve,short,,,,crew-neck,long-sleeve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50782201050101,GERRY WEBER
https://fotos.skm.be/article/494420/494420_01_WI22-beeldenklanten-campagne-zndrlogo5.jpg,trousers_and_chinos,casual,multicolor; navy; pink,female,,semi-formal,,,,,,,,,,,,,,,,,,,,,mid-waist,full-length,,,straight-fit-bottoms,,,,,,,,,,,,,,,,classic-trousers,49442001030101,Hampton Bays
https://fotos.skm.be/article/505664/505664_01_3774-69.jpg,skirt,modest,ecru; green; multicolor,female,fruits; leaf,summer,,belted,,,cotton,,,,,,,,,,,,,,,,high-waist,,a-line,midi,,,,,,,,,,,,,,,,,,50566401050101,Caroline Biss
https://fotos.skm.be/article/485231/485231_01_8553_07117001_1.jpg,tank-top,casual,multicolor; mustard; orange,female,chevron; net,casual; summer,,,,,,fitted-tops,,cropped,,,,round-neck,,,,,,,,,,,,,,,,,,,,,,,,,,,,sleeveless,,48523101030101,King Louie
https://fotos.skm.be/article/505581/505581_01_mayerline-gebloemde-a-lijnrok-in-crepe_S2023CHAIA17375560-1.jpg,skirt,casual,blue; lavander; multicolor,male,floral; leaf,beach; dating; summer,,,,,,,,,,,,,,,,,,,,,high-waist,,a-line,midi,,,,,,,,,,,,,,,,,,50558101050101,Mayerline
